project name,version,date,lines of code,complexity,comment lines density%,duplicated lines density%,issues,complexity/file,complexity/function,comment lines,duplicated blocks,blocker issues,critical issues,major issues,minor issues,directories,functions,statements,SQALE rating,technical debt,technical debt ratio
mongoose,3.6.0rc0,03 Feb 2013,26284,5657,12.8%,8.0%,3658,61.5,4.5,3875,216,4,6,3526,116,7,3539,17967,A,108d,6.6%
ember.js,v0.9.1,14 Dec 2011,26128,8020,20.4%,4.8%,3939,33.3,4.3,6678,109,0,0,3507,407,60,3332,16614,A,84d,5.2%
coffeescript,1.6.3,02 Jun 2013,7330,4969,0.9%,0.0%,3580,84.2,17.1,64,0,0,0,3533,47,4,1173,6611,B,79d,17.3%
q,v0.8.2,18 Jan 2012,2098,795,19.8%,24.0%,514,34.6,3.3,519,28,0,13,484,9,4,512,1483,A,12d,9.3%
mongoose,1.0.8,09 Feb 2011,6660,1753,15.2%,4.7%,901,28.7,2.9,1198,30,1,9,860,24,14,1057,4095,A,22d,5.5%
npm,v1.0.90,02 Oct 2011,8350,3974,9.9%,0.0%,6330,43.2,6.9,917,0,0,57,6239,27,10,1084,5405,C,137d,26.4%
npm,v1.2.5,05 Feb 2013,7278,3291,9.1%,0.0%,5309,38.7,6.8,731,0,0,22,5262,22,20,941,4700,C,117d,25.8%
ember.js,v0.9.5,17 Feb 2012,28305,8454,19.0%,5.3%,3938,31.3,4.1,6652,135,1,0,3508,405,59,3693,17867,A,88d,5.0%
mongoose,3.5.12,25 Apr 2013,25301,5487,12.7%,7.4%,3523,59.6,4.5,3687,199,4,6,3392,116,7,3407,17380,A,105d,6.7%
source-map,0.1.29,21 Aug 2013,2658,523,15.6%,1.1%,203,20.1,4.8,492,2,2,1,195,5,6,222,1413,A,9d 4h,5.7%
npm,v0.1.11,19 May 2010,2473,1053,10.4%,0.0%,1853,27.7,6.3,287,0,0,36,1800,7,4,316,1576,C,51d,33.5%
mongoose,3.8.18,22 Oct 2014,35565,8079,12.6%,9.8%,4911,67.3,4.9,5134,359,10,12,4736,145,9,4865,23917,A,140d,6.3%
mocha,0.10.1,17 Jan 2012,4162,3965,20.4%,72.8%,3102,59.2,7.7,1066,69,0,0,3014,82,10,1297,4730,C,79d,30.4%
request,v2.48.0,12 Nov 2014,5730,1301,4.0%,5.5%,2983,26.6,2.8,241,18,0,0,2908,22,4,690,3151,B,67d,18.7%
source-map,0.1.30,30 Sep 2013,2770,536,15.4%,1.0%,209,20.6,4.9,505,2,2,1,201,5,6,220,1482,A,9d 7h,5.7%
mongoose,2.3.11,08 Nov 2011,14735,3397,11.1%,6.8%,1571,49.2,3.1,1846,87,4,8,1477,60,12,2118,9195,A,57d,6.2%
mongoose,2.3.10,05 Nov 2011,14660,3382,11.2%,6.8%,1558,49.0,3.1,1842,87,4,8,1464,60,12,2105,9147,A,56d,6.2%
mongoose,3.8.11,22 May 2014,34680,7895,12.8%,10.1%,4952,66.3,4.9,5098,357,7,12,4783,142,8,4749,23386,A,140d,6.5%
ember.js,v1.6.0-beta.1,01 Apr 2014,54268,12532,22.6%,5.3%,2671,27.0,2.3,15870,274,0,0,2237,349,91,8060,32834,A,78d,2.3%
mongoose,1.0.10,11 Feb 2011,6674,1755,15.2%,4.7%,901,28.8,2.9,1198,30,1,9,860,24,14,1058,4102,A,22d,5.5%
mongoose,2.9.8,07 Feb 2013,18945,4173,9.8%,5.7%,2438,58.0,4.3,2052,101,4,1,2331,87,6,2639,12593,A,75d,6.4%
node-mysql,v2.5.0,07 Sep 2014,9786,1868,3.2%,5.3%,563,10.3,2.7,322,27,27,2,460,70,16,951,7575,A,21d,3.5%
ember.js,v1.5.1,22 Apr 2014,52264,12522,23.0%,5.8%,2517,26.7,2.3,15655,290,0,0,2177,298,91,8092,32891,A,75d,2.3%
bootstrap,v2.3.0,07 Feb 2013,2648,758,9.0%,4.4%,1829,26.1,4.3,262,11,0,0,1782,34,3,391,1599,C,46d,27.8%
coffeescript,1.6.2,13 Mar 2013,7086,4818,0.8%,0.0%,3469,87.6,17.1,60,0,0,0,3424,45,3,1144,6472,B,77d,17.5%
bower,v1.0.0-alpha.5,13 Jul 2013,8282,1970,8.9%,10.7%,151,30.3,3.7,806,95,0,7,91,21,14,1278,4864,A,2d 3h,0.5%
npm,v1.2.18,06 Apr 2013,7360,3317,9.3%,0.0%,5348,39.0,6.8,751,0,0,20,5303,23,20,957,4732,C,117d,25.6%
ember.js,v1.7.1,23 Oct 2014,60943,13947,20.8%,5.7%,2859,28.1,2.4,16002,318,5,0,2355,405,98,8733,36425,A,84d,2.2%
less.js,v1.7.1,08 Jun 2014,159778,104928,11.1%,96.9%,60282,664.1,10.6,19922,10769,15,1,56735,3384,10,27581,123963,B,1624d,16.3%
mongoose,3.5.1,12 Dec 2012,24327,5187,12.9%,6.7%,3320,58.3,4.4,3604,162,4,6,3192,113,7,3232,16664,A,99d,6.6%
npm,v1.1.17,17 Apr 2012,8800,4010,8.9%,0.0%,6324,44.1,6.9,862,0,0,54,6245,21,13,1089,5519,C,138d,25.2%
mongoose,3.0.1,12 Aug 2012,21705,4776,12.8%,7.1%,2865,50.8,4.3,3177,153,4,5,2745,101,10,2982,14506,A,87d,6.5%
npm,v0.2.9,24 Nov 2010,5700,2484,8.0%,0.0%,4233,33.1,6.2,495,0,0,69,4128,16,7,773,3610,C,90d,25.5%
mocha,0.8.2,05 Jan 2012,3927,3878,20.2%,72.4%,3051,61.6,7.8,991,61,0,0,2964,81,10,1237,4563,C,77d,31.7%
npm,v1.0.29,16 Sep 2011,7938,3802,10.1%,0.0%,6052,43.2,6.9,892,0,0,53,5970,23,10,1045,5143,C,131d,26.6%
mongoose,3.8.21,18 Dec 2014,35825,8131,12.6%,9.8%,4911,67.8,4.9,5150,357,11,12,4735,145,9,4907,24076,A,140d,6.3%
npm,v0.1.12,26 May 2010,2513,1071,10.2%,0.0%,1877,28.2,6.4,284,0,0,36,1824,7,4,318,1604,C,52d,33.3%
mocha,1.5.0,21 Sep 2012,6253,1864,20.7%,75.7%,1306,23.3,4.3,1630,79,0,0,1253,49,13,1097,4108,A,37d,9.7%
npm,v1.0.10,06 Jun 2011,7958,3796,9.9%,0.3%,6149,40.8,6.9,875,2,0,57,6059,26,8,1032,5222,C,134d,27.1%
bootstrap,v2.3.2,26 Jul 2013,2673,765,9.0%,4.4%,1846,26.4,4.3,263,11,0,0,1799,34,3,394,1615,C,46d,27.8%
brackets,test-45,10 Oct 2014,259862,81257,19.2%,47.9%,45721,116.6,8.1,61811,4796,0,3,39768,5117,171,27080,144373,A,873d,5.4%
npm,v1.3.5,24 Jul 2013,7640,3346,9.2%,0.0%,5483,39.4,6.5,772,0,0,19,5434,28,20,995,4894,C,121d,25.4%
coffeescript,1.0.0,24 Dec 2010,5524,3841,0.7%,0.0%,1971,71.1,14.7,38,0,0,0,1923,48,3,955,5564,B,44d,12.8%
mongoose,1.1.4,09 Mar 2011,8917,2334,14.4%,6.0%,1204,36.5,2.8,1504,50,3,17,1125,35,14,1437,5482,A,36d,6.5%
mongoose,3.5.10,02 Apr 2013,25191,5464,12.8%,7.3%,3493,60.0,4.5,3685,197,4,6,3363,115,7,3394,17297,A,104d,6.6%
node-mysql,v2.3.0,16 May 2014,7196,1652,4.2%,2.9%,666,10.8,2.6,312,11,31,0,582,51,16,771,5413,A,22d,5.1%
coffeescript,1.7.0,28 Jan 2014,7614,5171,1.6%,0.0%,3687,80.8,17.1,123,0,0,0,3638,49,6,1222,6857,B,81d,17.2%
mongoose,1.8.2,17 Aug 2011,11768,2891,12.4%,5.3%,1297,43.1,2.8,1662,56,2,13,1214,45,14,1793,7375,A,39d,5.3%
ember.js,v1.7.0,19 Aug 2014,60922,13944,20.8%,5.7%,2861,28.1,2.4,15998,318,5,0,2357,405,98,8730,36417,A,85d,2.2%
mocha,1.10.0,21 May 2013,6763,2034,20.2%,74.4%,1315,25.1,4.5,1716,93,0,0,1256,55,14,1161,4489,A,40d,9.5%
npm,v1.5.0-alpha-4,18 Jul 2014,11223,4273,6.7%,4.6%,7726,26.9,5.8,800,47,1,19,7664,39,31,1491,7168,C,168d,24.1%
bower,v1.3.1,11 Mar 2014,12341,2979,8.8%,21.1%,238,38.2,3.8,1192,222,1,12,152,41,13,1911,7149,A,4d 5h,0.6%
npm,v1.0.19,22 Jul 2011,8132,3888,10.4%,0.2%,6285,42.3,6.9,939,2,0,57,6194,27,9,1065,5331,C,138d,27.2%
npm,v1.1.41,13 Jul 2012,7304,3220,8.8%,0.6%,5071,39.8,6.6,709,2,0,25,5025,18,17,927,4469,C,111d,24.4%
npm,v2.0.0-alpha-5,22 Jul 2014,11304,4289,6.6%,5.2%,7778,26.5,5.8,802,49,1,18,7717,39,32,1501,7223,C,169d,24.1%
npm,v0.1.14,08 Jun 2010,2544,1086,9.2%,0.0%,1911,24.1,6.6,257,0,0,37,1854,10,5,320,1628,C,46d,29.2%
bootstrap,v3.0.0-rc1,27 Jul 2013,4281,4812,10.3%,57.9%,6433,137.5,8.6,491,36,0,0,6320,74,6,1346,5014,D,152d,56.9%
mongoose,1.1.23,01 Apr 2011,9449,2445,13.8%,5.4%,1235,38.2,2.8,1508,48,3,17,1159,33,14,1506,5821,A,36d,6.3%
npm,v1.1.30,19 Jun 2012,7091,3114,8.7%,0.6%,4904,38.4,6.5,678,2,0,24,4860,16,17,895,4330,C,107d,24.3%
bower,v0.6.7,10 Dec 2012,2515,1022,12.7%,2.1%,525,24.9,4.9,367,5,0,0,513,9,13,454,1985,B,22d,14.5%
coffeescript,0.9.5,21 Nov 2010,5493,3783,0.7%,0.0%,1945,74.2,14.3,36,0,0,0,1895,50,3,966,5519,B,43d,12.6%
request,v2.30.0,13 Dec 2013,3347,941,5.1%,6.7%,1801,22.4,4.1,181,18,0,0,1772,28,4,328,2106,C,42d,20.1%
mongoose,1.8.3,19 Aug 2011,11776,2890,12.4%,5.3%,1299,43.1,2.8,1662,56,2,13,1215,46,14,1793,7384,A,39d,5.3%
node-mysql,v0.1.0,22 Aug 2010,2431,435,2.2%,0.0%,244,29.0,3.4,55,0,2,0,230,10,4,203,1876,A,13d,9.1%
mongoose,3.8.0,31 Oct 2013,33761,7677,13.1%,10.0%,4875,64.5,4.9,5082,344,7,12,4709,139,8,4594,22783,A,138d,6.6%
q,v0.8.3,28 Apr 2012,2402,891,18.4%,21.4%,529,35.6,3.2,543,28,0,13,494,12,4,589,1665,A,12d,8.3%
ember.js,v1.0.0-rc.1,15 Feb 2013,57883,17006,26.3%,44.4%,4076,42.1,4.4,20643,541,0,0,3559,484,87,8053,36053,A,131d,3.6%
npm,v1.0.104,05 Nov 2011,8554,4060,9.9%,0.0%,6468,44.6,6.9,935,0,0,52,6382,27,10,1113,5529,C,141d,26.4%
brackets,hackathon,06 Mar 2012,12266,3580,20.1%,37.1%,2934,39.3,4.7,3080,31,0,0,2657,121,23,2199,8118,A,44d,5.8%
mocha,0.0.4,24 Nov 2011,2805,776,20.6%,72.5%,574,16.2,3.3,728,49,0,0,543,26,10,520,1741,A,13d,7.8%
q,v0.8.6,31 Jul 2012,4815,1829,18.1%,10.8%,578,121.9,3.6,1063,30,0,1,532,34,5,1023,3366,A,16d,5.6%
npm,v1.0.9-1,03 Jun 2011,7922,3778,9.8%,0.3%,6129,40.6,6.9,860,2,0,57,6039,26,8,1028,5205,C,134d,27.1%
mongoose,3.8.12,30 May 2014,34761,7919,12.8%,10.0%,4962,66.5,4.9,5104,359,7,12,4793,142,8,4760,23439,A,140d,6.5%
npm,v0.2.2,21 Sep 2010,4262,1873,8.5%,0.0%,3219,29.7,5.9,396,0,0,50,3138,14,6,607,2740,C,69d,25.9%
ember.js,v1.0.0-pre.2,25 Oct 2012,51634,15484,24.8%,15.6%,4139,44.8,4.5,16987,354,1,1,3483,619,70,6594,31939,A,138d,4.3%
npm,v1.4.3,16 Feb 2014,9493,3836,7.9%,1.7%,6633,32.0,6.0,819,13,1,20,6578,31,23,1270,6032,C,146d,24.6%
npm,v1.2.17,03 Apr 2013,7466,3343,9.5%,0.0%,5400,38.9,6.7,781,0,0,22,5352,23,20,965,4782,C,118d,25.5%
q,v0.8.5,15 May 2012,5352,1917,16.8%,9.9%,819,63.9,3.2,1081,30,0,14,750,37,6,1106,3714,A,22d,6.7%
source-map,0.1.31,01 Nov 2013,2790,540,15.6%,1.0%,210,20.8,4.9,515,2,2,1,202,5,6,222,1494,A,9d 7h,5.7%
ember.js,v1.1.0,21 Oct 2013,44796,10869,22.9%,5.5%,2226,25.0,2.3,13339,245,0,0,1925,270,87,7068,28467,A,65d,2.3%
brackets,sprint-4,04 Mar 2012,12217,3565,20.1%,37.2%,2918,39.2,4.7,3073,31,0,0,2641,121,23,2188,8086,A,43d,5.7%
ember.js,v1.1.2,25 Oct 2013,44885,10884,22.9%,5.5%,2223,25.0,2.3,13341,245,0,0,1922,270,87,7080,28520,A,65d,2.3%
mongoose,3.8.7,09 Feb 2014,34468,7835,12.9%,10.1%,4932,65.8,4.9,5108,355,7,12,4763,142,8,4711,23251,A,139d,6.5%
npm,v1.3.13,28 Oct 2013,7963,3464,9.0%,0.0%,5698,37.2,6.5,784,0,0,19,5649,28,21,1041,5101,C,126d,25.4%
mocha,1.7.0,07 Nov 2012,6444,1932,20.6%,75.9%,1372,23.9,4.4,1675,79,0,0,1319,49,13,1117,4260,A,40d,9.9%
bower,v1.1.1,08 Aug 2013,9581,2286,9.1%,11.3%,163,33.1,3.8,961,110,0,7,99,25,13,1483,5650,A,2d 5h,0.4%
mongoose,2.5.13,22 Mar 2012,17292,3857,10.8%,7.3%,1856,53.6,3.1,2084,104,5,8,1732,87,9,2419,10893,A,64d,6.0%
request,v2.47.0,26 Oct 2014,5535,1263,4.2%,5.7%,2925,25.8,2.8,240,18,0,0,2850,22,4,673,3090,B,65d,19.0%
less.js,v2.0.0-b1,19 Oct 2014,17046,8818,10.2%,76.0%,4407,65.8,7.5,1928,152,3,0,4079,296,18,2441,12553,B,129d,12.2%
request,v2.31.0,07 Jan 2014,3328,939,5.2%,6.7%,1793,22.9,4.1,181,18,0,0,1764,28,4,327,2097,C,41d,20.1%
request,v2.49.0,28 Nov 2014,5765,1307,4.0%,5.5%,2996,26.7,2.8,242,18,0,0,2920,23,4,691,3166,B,67d,18.7%
ember.js,v0.9.8.1,22 May 2012,45526,14051,25.4%,37.6%,4169,45.2,4.9,15490,376,1,1,3445,689,69,5621,28569,A,142d,5.0%
brackets,sprint-15,18 Oct 2012,180470,65203,18.7%,71.6%,31185,158.6,9.6,41645,4665,0,3,26467,4093,83,17515,103253,A,782d,6.9%
mongoose,3.8.25,13 Mar 2015,36101,8189,12.5%,9.7%,4914,68.2,4.9,5165,357,12,12,4737,145,9,4938,24250,A,140d,6.2%
mocha,1.21.0,23 Jul 2014,8229,2608,19.4%,63.2%,1602,27.2,4.8,1985,132,0,0,1539,59,19,1458,5524,A,48d,9.4%
mongoose,1.1.25,08 Apr 2011,9543,2464,13.7%,5.3%,1241,38.5,2.8,1509,48,3,17,1165,33,14,1524,5878,A,37d,6.2%
mongoose,1.1.6,22 Mar 2011,9094,2376,14.2%,5.5%,1219,37.1,2.8,1504,48,3,17,1140,35,14,1467,5594,A,36d,6.5%
mongoose,1.3.0,19 Apr 2011,9659,2484,13.6%,5.3%,1249,38.8,2.8,1516,48,3,17,1173,33,14,1538,5943,A,37d,6.2%
mocha,0.10.0,13 Jan 2012,4079,3939,20.7%,73.8%,3101,59.7,7.8,1066,69,0,0,3013,82,10,1271,4674,C,79d,31.0%
mongoose,2.1.3,16 Sep 2011,13071,3103,11.8%,5.9%,1282,45.0,3.0,1757,70,4,9,1187,59,12,1915,8131,A,42d,5.2%
npm,v1.0.1rc8,13 Apr 2011,7449,3530,9.4%,0.3%,5813,38.4,6.8,769,2,0,58,5726,25,8,955,4934,C,130d,28.0%
bower,v1.1.2,10 Aug 2013,9636,2302,9.1%,11.2%,165,33.4,3.8,970,110,0,7,101,25,13,1488,5676,A,2d 5h,0.5%
q,v0.8.7,22 Aug 2012,4905,1874,18.0%,10.6%,605,124.9,3.6,1075,30,0,1,559,34,5,1059,3436,A,17d,5.8%
mongoose,3.6.13,27 Jun 2013,29520,6520,12.7%,8.2%,4383,63.3,4.7,4302,244,6,7,4230,134,7,3935,19998,A,126d,6.9%
brackets,sprint-9,03 Jun 2012,31724,10226,23.2%,27.5%,9302,63.9,6.0,9565,58,0,0,8569,442,48,4731,20327,A,135d,6.9%
npm,v1.4.26,29 Aug 2014,10970,4127,6.8%,4.9%,7503,25.8,5.6,805,49,1,20,7441,38,31,1446,6975,C,164d,24.0%
mongoose,2.9.9,13 Feb 2013,18945,4173,9.8%,5.7%,2438,58.0,4.3,2052,101,4,1,2331,87,6,2639,12593,A,75d,6.4%
npm,v0.2.14-4,10 Jan 2011,7079,3110,7.7%,0.0%,5195,34.2,6.3,588,0,0,76,5070,30,9,931,4434,C,113d,25.6%
mocha,0.10.2,21 Jan 2012,4430,4057,19.5%,70.1%,3127,59.7,7.4,1072,69,0,0,3039,82,10,1373,4927,C,79d,28.8%
less.js,v1.3.1,18 Oct 2012,36852,29268,13.1%,96.9%,18064,424.2,10.3,5571,2751,0,0,17285,769,6,8024,31079,C,480d,20.8%
q,v0.8.8,23 Aug 2012,4915,1877,17.9%,10.6%,605,125.1,3.6,1075,30,0,1,559,34,5,1060,3439,A,17d,5.8%
less.js,v1.7.0,27 Feb 2014,146187,97348,11.1%,96.6%,56523,636.3,10.5,18263,9904,12,1,53280,3099,10,25727,114240,B,1516d,16.6%
npm,v1.0.0rc5,23 Mar 2011,7306,3391,9.2%,0.0%,5619,36.5,6.7,740,0,0,56,5532,27,8,905,4796,C,127d,27.8%
mongoose,2.5.14,13 Apr 2012,17349,3872,10.8%,7.3%,1858,53.8,3.1,2090,104,5,8,1734,87,9,2427,10927,A,64d,5.9%
bootstrap,v2.3.1,28 Feb 2013,2670,765,8.9%,4.4%,1845,26.4,4.3,262,11,0,0,1798,34,3,395,1613,C,46d,27.8%
mocha,0.1.0,29 Nov 2011,3028,822,20.4%,63.7%,627,15.8,3.2,776,53,0,0,595,28,10,583,1898,A,14d,7.9%
npm,v1.0.21,24 Jul 2011,8132,3887,10.4%,0.2%,6286,42.3,6.9,939,2,0,57,6195,27,9,1065,5333,C,138d,27.2%
mongoose,1.1.5,14 Mar 2011,8948,2344,14.4%,6.0%,1211,36.6,2.8,1504,50,3,17,1132,35,14,1441,5504,A,36d,6.5%
brackets,sprint-12,09 Aug 2012,25938,7988,25.7%,2.4%,7093,56.3,6.4,8964,48,0,0,6381,462,40,3392,15907,A,88d,5.5%
bootstrap,v3.0.0-rc.2,13 Aug 2013,5648,8093,20.8%,40.6%,9506,202.3,9.8,1479,38,1,1,9337,122,6,2266,8075,D,237d,67.4%
npm,v1.4.5,18 Mar 2014,9708,3864,7.8%,1.9%,6755,30.9,5.9,821,15,1,20,6700,31,25,1290,6157,C,148d,24.5%
npm,v1.1.28,18 Jun 2012,7059,3102,8.7%,0.6%,4887,39.3,6.5,676,2,0,24,4843,16,15,889,4313,C,107d,24.4%
mongoose,2.3.3,12 Oct 2011,13761,3204,11.4%,6.7%,1340,46.4,3.1,1778,81,4,9,1248,56,12,1992,8520,A,45d,5.3%
coffeescript,1.7.1,29 Jan 2014,7614,5171,1.6%,0.0%,3680,80.8,17.1,123,0,0,0,3631,49,6,1222,6857,B,81d,17.1%
bower,v0.6.8,14 Dec 2012,2532,1031,12.8%,2.1%,529,25.1,5.0,371,5,0,0,516,10,13,454,1996,B,22d,14.5%
mongoose,3.8.6,30 Jan 2014,34422,7815,12.9%,10.2%,4915,65.7,4.9,5104,357,7,12,4746,142,8,4705,23210,A,139d,6.5%
coffeescript,1.0.1,31 Jan 2011,5566,3870,0.7%,0.0%,1987,71.7,14.8,38,0,0,0,1941,46,3,958,5570,B,45d,13.0%
brackets,sprint-13,30 Aug 2012,177993,64748,18.7%,73.7%,30544,163.1,9.6,40833,4495,0,3,25865,4063,78,17288,102236,A,776d,7.0%
q,v0.8.9,08 Oct 2012,5259,1962,17.2%,10.0%,604,130.8,3.6,1090,30,0,1,560,32,5,1133,3645,A,17d,5.4%
mongoose,2.5.2,30 Jan 2012,16260,3645,10.7%,7.6%,1736,52.1,3.1,1943,97,2,9,1624,78,9,2306,10176,A,60d,6.0%
ember.js,v1.8.1,04 Nov 2014,61157,13575,20.5%,6.0%,2681,26.4,2.2,15808,338,5,0,2214,395,98,8795,37145,A,82d,2.2%
npm,v1.1.0-beta-6,16 Dec 2011,8847,4174,9.9%,0.0%,6571,45.4,6.9,976,0,0,56,6479,29,10,1148,5642,C,143d,25.9%
mongoose,2.1.4,20 Sep 2011,13063,3100,11.9%,5.9%,1279,44.9,3.0,1757,70,4,9,1184,59,12,1913,8124,A,42d,5.2%
npm,v1.3.24,19 Jan 2014,9021,3736,8.3%,0.0%,6303,33.7,6.1,813,0,0,21,6249,30,24,1193,5713,C,139d,24.7%
bootstrap,v3.0.1,30 Oct 2013,3922,1723,10.6%,64.6%,3535,61.5,5.4,463,38,0,0,3467,30,4,709,3024,C,83d,34.1%
mocha,1.2.0,17 Jun 2012,5794,1633,20.4%,73.7%,1133,20.7,4.1,1489,75,0,0,1081,48,13,1030,3710,A,32d,8.8%
npm,v1.1.65,25 Oct 2012,6927,3101,9.3%,0.0%,4987,38.3,6.7,710,0,0,23,4942,19,18,903,4413,C,109d,25.4%
source-map,0.1.32,11 Feb 2014,2784,538,15.6%,1.0%,209,20.7,5.0,515,2,2,1,201,5,6,220,1490,A,9d 7h,5.7%
brackets,sprint-22,25 Mar 2013,197848,69024,19.0%,63.5%,35522,149.7,9.1,46458,4729,0,3,30479,4351,92,19749,112887,A,812d,6.6%
npm,v1.1.40,12 Jul 2012,7304,3220,8.8%,0.6%,5071,39.8,6.6,709,2,0,25,5025,18,17,927,4469,C,111d,24.4%
npm,v2.2.0,08 Jan 2015,17144,5418,5.3%,9.0%,11122,23.0,5.1,962,101,0,18,11056,43,36,2164,10532,C,241d,22.6%
mongoose,1.0.11,14 Feb 2011,8156,2141,14.9%,5.3%,1136,34.0,2.8,1424,40,4,17,1062,33,14,1317,5002,A,34d,6.7%
brackets,sprint-8,11 May 2012,21462,5854,25.8%,34.4%,6835,39.6,4.9,7445,45,0,0,6322,251,45,3474,14045,A,73d,5.4%
npm,v1.3.25,23 Jan 2014,9021,3736,8.3%,0.0%,6303,33.7,6.1,813,0,0,21,6249,30,24,1193,5713,C,139d,24.7%
ember.js,v1.1.0-beta.3,04 Oct 2013,44371,10776,23.0%,5.6%,2176,24.8,2.3,13288,247,0,0,1876,268,87,7000,28225,A,62d,2.2%
mongoose,3.6.14,05 Jul 2013,29607,6537,12.7%,8.3%,4396,63.5,4.7,4314,246,6,7,4243,134,7,3946,20051,A,127d,6.9%
source-map,0.1.33,26 Feb 2014,3152,584,15.4%,0.9%,223,21.6,5.1,573,2,2,1,215,5,6,233,1696,A,10d,5.3%
mongoose,2.0.0,23 Aug 2011,12746,3027,11.6%,6.7%,1208,45.2,3.0,1666,77,3,9,1119,53,11,1886,7955,A,39d,5.0%
bootstrap,v3.0.0,19 Aug 2013,5635,8190,13.1%,45.4%,9633,199.8,9.8,850,38,0,1,9464,124,6,2293,8176,D,241d,68.6%
bower,v1.3.10,13 Sep 2014,13147,3125,8.7%,19.2%,268,36.3,3.8,1248,220,5,23,166,40,15,2017,7506,A,5d 3h,0.7%
npm,v1.0.91,03 Oct 2011,8358,3980,9.9%,0.0%,6332,43.3,6.9,918,0,0,57,6241,27,10,1084,5409,C,137d,26.4%
mongoose,3.6.2,29 Mar 2013,27924,6162,13.2%,7.8%,4077,62.2,4.6,4229,230,6,7,3927,131,7,3784,19111,A,119d,6.8%
ember.js,v1.0.0-rc.3,21 Apr 2013,46746,12703,21.7%,5.9%,2506,30.0,3.2,12990,247,0,0,2115,375,92,6794,28772,A,87d,3.0%
npm,v2.1.9,13 Nov 2014,16239,5286,5.6%,7.9%,10593,23.4,5.2,955,90,0,18,10530,40,36,2053,10022,C,230d,22.7%
mocha,0.0.6,25 Nov 2011,2812,777,20.6%,73.2%,570,16.2,3.3,728,47,0,0,540,26,10,521,1747,A,13d,7.8%
npm,v0.2.3,28 Sep 2010,4396,1900,8.2%,0.0%,3276,29.7,5.9,394,0,0,52,3193,14,6,618,2799,C,70d,25.6%
mocha,1.7.1,23 Nov 2012,6478,1936,20.6%,76.1%,1366,23.9,4.4,1677,81,0,0,1313,49,13,1117,4278,A,39d,9.9%
npm,v1.2.27,06 Jun 2013,7394,3283,9.3%,0.0%,5345,40.0,6.8,758,0,0,20,5297,26,20,964,4753,C,117d,25.5%
npm,v0.1.16,10 Jun 2010,2564,1093,9.2%,0.0%,1926,24.3,6.6,259,0,0,37,1869,10,5,322,1643,C,46d,29.1%
mongoose,3.0.2,17 Aug 2012,21930,4798,12.7%,7.0%,2894,51.0,4.3,3183,157,4,5,2774,101,10,3002,14672,A,88d,6.4%
npm,v1.1.0-beta-8,04 Jan 2012,8869,4176,9.9%,0.0%,6571,45.4,6.9,971,0,0,56,6479,29,10,1147,5648,C,143d,25.9%
mongoose,2.8.0,23 Aug 2012,18769,4131,9.8%,6.1%,2393,51.0,4.3,2036,105,4,1,2285,88,9,2635,12420,A,74d,6.4%
request,v2.50.0,09 Dec 2014,5888,1325,4.0%,5.4%,3061,25.5,2.8,244,18,0,0,2983,23,5,706,3230,B,68d,18.7%
ember.js,v1.5.0-beta.4,10 Mar 2014,51652,12413,23.1%,5.8%,2497,26.6,2.3,15535,286,0,0,2157,298,90,8010,32555,A,75d,2.3%
bower,v1.0.0-alpha.7,16 Jul 2013,9087,2132,8.3%,11.6%,153,32.8,3.7,823,112,0,7,94,21,14,1438,5386,A,2d 3h,0.4%
brackets,sprint-20,12 Feb 2013,190574,67495,18.8%,66.5%,33418,158.8,9.3,44059,4734,0,3,28534,4250,83,18800,108682,A,800d,6.7%
source-map,0.1.35,08 Jul 2014,3286,596,15.4%,0.9%,228,22.1,5.1,597,2,4,1,218,5,6,241,1754,A,10d,5.2%
bower,v1.3.2,07 Apr 2014,12375,2983,8.8%,21.0%,241,38.2,3.8,1192,218,2,12,153,42,13,1915,7169,A,4d 6h,0.6%
q,v0.8.11,25 Nov 2012,5639,2115,15.9%,11.3%,703,124.4,3.5,1064,38,0,1,659,31,5,1280,3813,A,18d,5.3%
mocha,1.2.2,28 Jun 2012,5818,1664,20.4%,74.7%,1180,21.1,4.1,1495,77,0,0,1128,48,13,1033,3759,A,33d,9.2%
bower,1.0.0,08 Sep 2014,12942,3076,8.7%,19.5%,260,36.2,3.8,1241,220,4,21,162,40,15,1972,7405,A,5d 1h,0.6%
less.js,v1.3.3,30 Dec 2012,52097,38477,12.6%,93.1%,23360,452.7,10.0,7503,3831,0,0,22288,1054,7,10569,42450,B,625d,19.2%
brackets,sprint-6,08 Apr 2012,18910,5305,21.3%,38.7%,4701,41.4,4.9,5116,39,0,0,4282,208,39,3214,12361,A,66d,5.6%
mongoose,3.5.6,14 Feb 2013,24934,5399,12.8%,7.3%,3434,60.0,4.5,3662,197,4,6,3305,114,7,3352,17117,A,102d,6.6%
mocha,0.12.0,02 Feb 2012,4438,4050,19.7%,70.7%,3111,60.4,7.5,1088,69,0,0,3023,82,11,1366,4922,C,79d,28.6%
npm,v1.2.28,07 Jun 2013,7398,3285,9.3%,0.0%,5347,40.1,6.7,758,0,0,20,5299,26,20,966,4755,C,117d,25.5%
npm,v1.1.19,30 Apr 2012,8810,4017,8.9%,0.0%,6328,44.1,6.9,863,0,0,54,6249,21,13,1090,5525,C,138d,25.2%
